Taxon_deutsch,Taxon_wissensch
Klebriger Alant,Dittrichia graveolens
Kaukasus-Gämswurz,Doronicum orientale
Dreikantmuschel,Dreissena polymorpha
,Dreissena rostriformis
Quagga-Dreikantmuschel,Dreissena bugensis
,Drosophila suzukii
,Duponchelia fovealis
Duft-Drüsengänsefuß,Dysphania ambrosioides
Klebriger Drüsengänsefuß,Dysphania botrys
Australischer Drüsengänsefuß,Dysphania pumilio
Schrader-Drüsengänsefuß,Dysphania schraderiana
Borstige Hühnerhirse,Echinochloa muricata
Stachelgurke,Echinocystis lobata
,Echinogammarus berilloni
Banater Kugeldistel,Echinops bannaticus
Hohe Kugeldistel,Echinops exaltatus
Blaue Kugeldistel,Echinops ritro
Rundkoepfige Kugeldistel,Echinops sphaerocephalus
,Echinops sphaerocephalus sphaerocephalus
Bernstein-Waldschabe,Ectobius vittiventris
Schmalblättrige Ölweide,Elaeagnus angustifolia
Silber-Ölweide,Elaeagnus commutata
Eleusine,Eleusine indica
,Elodea canadensis
Dichtblaettrige Wasserpest,Elodea densa
Nuttalls Wasserpest,Elodea nuttallii
Kakaomotte,Ephestia elutella
Kurzfrüchtiges Weidenröschen,Epilobium brachycarpum
Drüsiges Weidenröschen,Epilobium ciliatum
Alpen-Sockenblume,Epimedium alpinum
Grossaehriges Liebesgras,Eragrostis cilianensis
Afrikanisches Liebesgras,Eragrostis curvula
Kleines Liebesgras,Eragrostis minor
Japanisches Liebesgras,Eragrostis multicaulis
Behaartes Liebesgras,Eragrostis pilosa
Winterling,Eranthis hyemalis
Amerikanisches Scheingreiskraut,Erechtites hieraciifolius
einjähriger Feinstrahl,Erigeron annuus
Argentinisches Berufkraut,Erigeron bonariensis
Sumatra-Berufkraut,Erigeron sumatrensis
Kanadisches Berufkraut,Erigeron canadensis
Striegelhaariges Berufkraut,Erigeron strigosus
Braunbrustigel,Erinaceus europaeus
Chinesische Wollhandkrabbe,Eriocheir sinensis
Riesen-Mannstreu,Eryngium giganteum
Ruten-Schöterich,Erysimum hieraciifolium
Gelbe Gauklerblume,Erythranthe guttata
Moschus-Gauklerblume,Erythranthe moschata
Südliche Grille,Eumodicogryllus bordigalensis
kletternder Spindelstrauch,Euonymus fortunei
Niederliegende Wolfsmilch,Euphorbia humifusa
Kreuzblaettrige Wolfsmilch,Euphorbia lathyris
Gefleckte Wolfsmilch,Euphorbia maculata
Walzen-Wolfsmilch,Euphorbia myrsinites
Hingestreckte Wolfsmilch,Euphorbia prostrata
Weidenblättrige Wolfsmilch,Euphorbia salicifolia
Schlaengelnde Wolfsmilch,Euphorbia serpens
Gras-Schildwanze,Eurygaster maura
Grasblättriger Goldschirm,Euthamia graminifolia
Echter Buchweizen,Fagopyrum esculentum
Silberregen,Fallopia baldschuanica
Kamberkrebs,Faxonius limosus
Feigenbaum,Ficus carica
Fenchel,Foeniculum vulgare
Forsythie,Forsythia intermedia
"Goldflieder, Forsythie",Forsythia suspensa
Ananas-Erdbeere,Fragaria ananassa
Blumen-Esche,Fraxinus ornus
Pennsylvanische Esche,Fraxinus pennsylvanica
Gewöhnliche Schachblume,Fritillaria meleagris
Ranken-Erdrauch,Fumaria capreolata
Mauer-Erdrauch,Fumaria muralis
Prärie-Kokardenblume,Gaillardia aristata
Grossbluetiges Schneegloeckchen,Galanthus elwesii
Geissraute,Galega officinalis
Kleinbluetiges Franzosenkraut,Galinsoga parviflora
Bewimpertes Knopfkraut,Galinsoga quadriradiata
Anis-Labkraut,Galium verrucosum
Wirtgens Labkraut,Galium verum wirtgenii
Bankivahuhn,Gallus gallus
Flussflohkrebs,Gammarus roeselii
Harziger Lackporling,Ganoderma resinaceum
,Geopora sumneriana
Endress-Storchschnabel,Geranium endressii
Felsen-Storchschnabel,Geranium macrorrhizum
Knotiger Storchschnabel,Geranium nodosum
Purpur-Storchschnabel,Geranium purpureum
Pyrenäen-Storchschnabel,Geranium pyrenaicum
Gefleckter Strudelwurm,Girardia tigrina
Gleditschie,Gleditsia triacanthos
Vierfleckiger Kiefernglanzkäfer,Glischrochilus quadripunctatus
,Glischrochilus quadrisignatus
Gestreifter Schwaden,Glyceria striata
,Gnatocerus cornutus
Flieder-Blatttütenfalter,Gracillaria syringella
Rhododendronzikade,Graphocephala fennahi
Abessinisches Ramtillkraut,Guizotia abyssinica
Rispiges Gipskraut,Gypsophila paniculata
Durchwachsenblättriges Gipskraut,Gypsophila perfoliata
Schwarzwurzel-Gipskraut,Gypsophila scorzonerifolia
,Halyomorpha halys
,Haplophthalmus danicus
Asiatischer Marienkäfer,Harmonia axyridis
Gewächshaushusar,Hasarius adansoni
Einjaehrige Sonnenblume,Helianthus annuus
Zehnstrahlige Sonnenblume,Helianthus decapetalus
Bastard-Sonnenblume,Helianthus laetiflorus
Steife Sonnenblume,Helianthus pauciflorus
Topinambur,Helianthus tuberosus
Oestliche Nieswurz,Helleborus orientalis
Natternkopf-Bitterkraut,Helminthotheca echioides
Gelbrote Taglilie,Hemerocallis fulva
Gelbe Taglilie,Hemerocallis lilioasphodelus
Riesen-Bärenklau,Heracleum mantegazzianum
Behaartes Bruchkraut,Herniaria hirsuta
Nachtviole,Hesperis matronalis
Stundenblume,Hibiscus trionum
Grausenf,Hirschfeldia incana
Mähnen-Gerste,Hordeum jubatum
Spanisches Hasenglöckchen,Hyacinthoides hispanica
Bastard-Hasenglöckchen,Hyacinthoides massartiana
Kantige Laubschnecke,Hygromia cinctella
Prächtige Waldfetthenne,Hylotelephium spectabile
,Hymenoscyphus fraxineus
,Hypania invalida
Größeres Kanadisches Johanniskraut,Hypericum majus
Echter Ysop,Hyssopus officinalis
Echter Ysop (Unterart),Hyssopus officinalis officinalis
Doldige Schleifenblume,Iberis umbellata
Kap-Springkraut,Impatiens capensis
Buntes Springkraut,Impatiens edgeworthii
Drüsiges Springkraut,Impatiens glandulifera
Kleines Springkraut,Impatiens parviflora
Echter Alant,Inula helenium
Grasblättrige Schwertlilie,Iris graminea
Zwerg-Schwertlilie,Iris pumila
,Jackrogersella cohaerens
Berg-Greiskraut,Jacobaea subalpina
Japanische Ahornzirpe,Japananus hyalinus
Schwertblättrige Binse,Juncus ensifolius
Zarte Binse,Juncus tenuis
Kali-Salzkraut,Salsola tragus
Schmalblättrige Lorbeerrose,Kalmia angustifolia
,Karpatiosorbus latifolia
Japanisches Goldröschen,Kerria japonica
,Kryphioiulus occultus
Kleiner Ohrwurm,Labia minor
Sandohrwurm,Labidura riparia
Gewöhnlicher Goldregen,Laburnum anagyroides
Großblättriger Milchlattich,Lactuca macrophylla
Tataren-Lattich,Lactuca tatarica
Schmalrohr,Lagarosiphon major
Silber-Goldnessel,Lamium galeobdolon argentatum
,Lamyctes emarginatus
Japanische Laerche,Larix kaempferi
,Lasioglossum malachurum
Breitblättrige Platterbse,Lathyrus latifolius
Gartenwicke,Lathyrus odoratus
,Latridius minutus
Zierliche Wasserlinse,Lemna minuta
Rote Wasserlinse,Lemna turionifera
,Leonurus quinquelobatus
Dichtbluetige Kresse,Lepidium densiflorum
Zweiknotiger Krähenfuß,Lepidium didymum
Pfeilkresse,Lepidium draba
Verschiedenblättrige Kresse,Lepidium heterophyllum
Durchwachsenblaettrige Kresse,Lepidium perfoliatum
Virginische Kresse,Lepidium virginicum
Gemeiner Sonnenbarsch,Lepomis gibbosus
Kartoffelkäfer,Leptinotarsa decemlineata
Amerikanische Kiefernwanze,Leptoglossus occidentalis
Feldhase,Lepus europaeus
Schneehase,Lepus timidus
,Leratiomyces ceres
Spätblühende Margerite,Leucanthemella serotina
Garten-Margerite,Leucanthemum maximum
Gelber Faltenschirmling,Leucocoprinus birnbaumii
Sommer-Knotenblume,Leucojum aestivum
Maggikraut,Levisticum officinale
Breitblatt-Liguster,Ligustrum ovalifolium
,Limnomysis benedeni
Ginsterblättriges Leinkraut,Linaria genistifolia
Dalmatinisches Leinkraut,Linaria dalmatica
Purpur-Leinkraut,Linaria purpurea
Großes Büchsenkraut,Lindernia dubia
Österreichischer Lein,Linum austriacum
Amerikanischer Ochsenfrosch,Lithobates catesbeianus
Flußsteinkleber,Lithoglyphus naticoides
Strand-Silberkraut,Lobularia maritima
Italienisches Raygras,Lolium multiflorum
Henry-Heckenkirsche,Lonicera acuminata
Tataren-Heckenkirsche,Lonicera tatarica
Garten-Mondviole,Lunaria annua
Einjähriges Silberblatt,Lunaria annua annua
,Lunularia cruciata
Vielblättrige Lupine,Lupinus polyphyllus
,Lupinus regalis
Großer Feuerfalter,Lycaena dispar
Gewöhnlicher Bocksdorn,Lycium barbarum
Chinesischer Bocksdorn,Lycium chinense
Eurasischer Luchs,Lynx lynx
Gelbe Scheinkalla,Lysichiton americanus
Punktierter Gilbweiderich,Lysimachia punctata
Kanarenspringer,Macaroeris nidicolens
Bennetkänguruh,Macropus rufogriseus
Mahonie,Mahonia aquifolium
Kultur-Apfel,Malus domestica
Quirl-Malve,Malva verticillata
Strahlenlose Kamille,Matricaria discoidea
Arabischer Schneckenklee,Medicago arabica
Stacheliger Schneckenklee,Medicago polymorpha
Saat-Luzerne,Medicago sativa
Hohes Perlgras,Melica altissima
Indischer Honigklee,Melilotus indicus
Zitronen-Melisse,Melissa officinalis
Pfeffer-Minze,Mentha piperita
Aehrige Minze,Mentha spicata
,Mentha spicata spicata
Hain-Minze,Mentha villosa
Amerikanische Zwergspinne,Mermessus trilobatus
,Metcalfa pruinosa
,Miscanthus sacchariflorus
Chinaschilf,Miscanthus sinensis
Schwarzer Maulbeerbaum,Morus nigra
,Muscari armeniacum
Aucher-Träubel,Muscari aucheri
"Amerikanische Nerz, Amerikanische Mink",Mustela vison
Hohldotter,Myagrum perfoliatum
Nutria,Myocastor coypus
Brasilianisches Tausendblatt,Myriophyllum aquaticum
Verschiedenblättriges Tausendblatt,Myriophyllum heterophyllum
Unvergleichliche Narzisse,Narcissus incomparabilis
Schwarzmund-Grundel,Neogobius melanostomus
Hybrid-Katzenminze,Nepeta faassenii
Traubige Katzenminze,Nepeta racemosa
Giftbeere,Nicandra physalodes
Gelbes Moenchskraut,Nonea lutea
Verschiedenfarbiges Mönchskraut,Nonea versicolor
,Nothophaeocryptopus gaeumannii
Marderhund,Nyctereutes procyonoides
,Obolodiplosis robiniae
Großer Sattelkanker,Odiellus spinosus
Mauer-Steinkraut,Odontarrhena muralis
Spitzblättrige Nachtkerze,Oenothera acutifolia
,Oenothera albipercurva
Sand-Nachtkerze,Oenothera ammophila
Küsten-Nachtkerze,Oenothera oakesiana
Gewöhnliche Nachtkerze,Oenothera biennis
Filzige Nachtkerze,Oenothera villosa
Kronen-Nachtkerze,Oenothera coronifera
Rotkelchige Nachtkerze,Oenothera glazioviana
Täuschende Nachtkerze,Oenothera fallax
Hoelscher-Nachtkerze,Oenothera hoelscheri
Issler-Nachtkerze,Oenothera issleri
Kleinblütige Nachtkerze,Oenothera parviflora
Feinpunktierte Nachtkerze,Oenothera punctulata
Rotstängel-Nachtkerze,Oenothera rubricaulis
Wohlriechende Nachtkerze,Oenothera suaveolens
Grosses Vergissmeinnicht,Omphalodes verna
Forelle,Oncorhynchus mykiss
Bisamratte,Ondatra zibethicus
Saat-Esparsette,Onobrychis viciifolia
Apenninenkanker,Opilio canestrinii
Orientzirpe,Orientus ishidae
,Origanum vulgare hirtum
Bouches Milchstern,Ornithogalum boucheanum
Nickender Milchstern,Ornithogalum nutans
,Ornithonyssus bacoti
Großer Vogelfuß,Ornithopus sativus
Linealblättriges Geradzahnmoos,Orthodontium lineare
,Osmia cornuta
Gefurchter Lappenrüßler,Otiorhynchus sulcatus
Altai-Wildschaf,Ovis ammon
Mufflon,Ovis aries
Dillenius' Sauerklee,Oxalis dillenii
Aufrechter Sauerklee,Oxalis stricta
Amerikanischer Garten-Tausendfüßer,Oxidus gracilis
Große Glanzschnecke,Oxychilus draparnaudi
Schwarzkopf-Ruderente,Oxyura jamaicensis
Japanischer Ysander,Pachysandra terminalis
Signalkrebs,Pacifastacus leniusculus
Garten-Pfingstrose,Paeonia officinalis
Olivenbaum-Zünsler,Palpita vitrealis
Haaraestige Hirse,Panicum capillare
Reisfeld-Hirse,Panicum dichotomiflorum
Echte Hirse,Panicum miliaceum
Kultur-Hirse,Panicum miliaceum miliaceum
Kambrischer Scheinmohn,Papaver cambricum
Orientalischer Mohn,Papaver orientale
Schlaf-Mohn,Papaver somniferum
Gewächshaus-Mondspinne,Parasteatoda tepidariorum
Robinien-Blatttütenfalter,Parectopa robiniella
Pennsylvanisches Glaskraut,Parietaria pensylvanica
Fünfblättriger Wilder Wein,Parthenocissus inserta
Fuenffingerige Jungfernrebe,Parthenocissus quinquefolia
Dreispitzige Jungfernrebe,Parthenocissus tricuspidata
Brennender Pastinak,Pastinaca sativa urens
Blauglockenbaum,Paulownia tomentosa
,Penilia avirostris
Immergrüne Fünfzunge,Pentaglottis sempervirens
Südliche Großschabe,Periplaneta australasiae
Bueschelblume,Phacelia tanacetifolia
Kanariengras,Phalaris canariensis
Fasan,Phasianus colchicus
Bergsteppen-Glanzfetthenne,Phedimus hybridus
Kaukasus-Fetthenne,Phedimus spurius
Falscher Jasmin,Philadelphus coronarius
Polster-Phlox,Phlox subulata
Chile-Flamingo,Phoenicopterus chilensis
Rosaflamingo,Phoenicopterus roseus
Flamingo,Phoenicopterus ruber
Große Zitterspinne,Pholcus phalangioides
Feuerdornminiermotte,Phyllonorycter leucographella
Platanenminiermotte,Phyllonorycter platani
Spitze Blasenschnecke,Physella acuta
Blasenspiere,Physocarpus opulifolius
Essbare Kermesbeere,Phytolacca acinosa
Amerikanische Kermesbeere,Phytolacca americana
Omorikafichte,Picea omorika
Fremde Bibernelle,Pimpinella peregrina
Schwarz-Kiefer,Pinus nigra
Schwarz-Kiefer,Pinus nigra nigra
Strobe,Pinus strobus
Wassersalat,Pistia stratiotes
Orientalischer Lebensbaum,Platycladus orientalis
Dörrobstmotte,Plodia interpunctella
Guppy,Poecilia reticulata
Vierblättriges Nagelkraut,Polycarpon tetraphyllum
Vierblättriges Nagelkraut,Polycarpon tetraphyllum tetraphyllum
Sommer-Bandfüßer,Polydesmus denticulatus
Garten-Weißwurz,Polygonatum hybridum
,Ponera coarctata
Kessler-Grundel,Ponticola kessleri
,Pontogammarus robustoides
Balsam-Pappel,Populus balsamifera
Kanadische Pappel,Populus canadensis
Virginische Pappel,Populus deltoides
,Porcellionides pruinosus
Portulakröschen,Portulaca grandiflora
Portulak,Portulaca oleracea
Portulak,Portulaca oleracea oleracea
Jenkins Deckelschnecke,Potamopyrgus antipodarum
,Potamothrix hammoniensis
,Potamothrix moldaviensis
Indische Scheinerdbeere,Potentilla indica
Mittleres Fingerkraut,Potentilla intermedia
,Proasellus coxalis
,Proasellus meridianus
Roter Amerikanischer Sumpfkrebs,Procambarus clarkii
Waschbär,Procyon lotor
Marmorgrundel,Proterorhinus semilunaris
Aprikose,Prunus armeniaca
Kirschpflaume,Prunus cerasifera
Sauerkirsche,Prunus cerasus
Pflaume,Prunus domestica domestica
Kirschlorbeer,Prunus laurocerasus
Pfirsich,Prunus persica
Späte Trauben-Kirsche,Prunus serotina
Zwerg-Mandel,Prunus tenella
Virginische Trauben-Kirsche,Prunus virginiana
Haus-Keilspringer,Pseudeuophrys lanigera
Blassgelber Lerchensporn,Pseudofumaria alba
Gelber Lerchensporn,Pseudofumaria lutea
Blaubandbärbling,Pseudorasbora parva
Douglasfichte,Pseudotsuga menziesii
Großer Alexandersittich,Psittacula eupatria
Halsbandsittich,Psittacula krameri
Dreiblättriger Lederstrauch,Ptelea trifoliata
Kaukasische Fluegelnuss,Pterocarya fraxinifolia
Großfleckiges Lungenkraut,Pulmonaria saccharata
Blausternähnliche Puschkinie,Puschkinia scilloides
Feuerdorn,Pyracantha coccinea
Kultur-Birnbaum,Pyrus communis
Zerr-Eiche,Quercus cerris
Rot-Eiche,Quercus rubra
Schwefelgelbe Koralle,Ramaria flava
,Rangia cuneata
Runzeliger Rapsdotter,Rapistrum rugosum
Wanderratte,Rattus norvegicus
Bastard-Staudenknoeterich,Reynoutria bohemica
Japanischer Staudenknoeterich,Reynoutria japonica
Sachalin-Staudenknoeterich,Reynoutria sachalinensis
,Rhabdocline pseudotsugae
,Rhagoletis completa
Nandu,Rhea americana
Rhabarber,Rheum rhabarbarum
Pontische Azalee,Rhododendron luteum
Pontische Alpenrose,Rhododendron ponticum
Essigbaum,Rhus typhina
Gold-Johannisbeere,Ribes aureum
Untergetauchtes Sternlebermoos,Riccia fluitans
Schwimm-Sternlebermoos,Ricciocarpos natans
Rizinus,Ricinus communis
Robinie,Robinia pseudoacacia
Vielbluetige Rose,Rosa multiflora
Kartoffel-Rose,Rosa rugosa
Allegheny-Brombeere,Rubus allegheniensis
Armenische Brombeere,Rubus armeniacus
Kanadische Brombeere,Rubus canadensis
Schlitzblättrige Brombeere,Rubus laciniatus
Zimt-Himbeere,Rubus odoratus
Japanische Weinbeere,Rubus phoenicolasius
Pracht-Himbeere,Rubus spectabilis
Rauer Sonnenhut,Rudbeckia hirta
Schlitzblättriger Sonnenhut,Rudbeckia laciniata
Gemüse-Ampfer,Rumex longifolius
Garten-Ampfer,Rumex patientia
Schmalblättriger Ampfer,Rumex stenophyllus
Weidenblatt-Ampfer,Rumex triangulivalvis
(Alpen-)Gämse,Rupicapra rupicapra
Breitblättriges Pfeilkraut,Sagittaria latifolia
Spitzblättrige Weide,Salix acutifolia
Schwarzgraue Weide,Salix atrocinerea
Echte Trauerweide,Salix babylonica
Herzblättrige Weide,Salix eriocephala
Seidenblatt-Weide,Salix holosericea
Trauerweide,Salix sepulcralis
,Salvelinus alpinus
Bachsaibling,Salvelinus fontinalis
Mohren-Salbei,Salvia aethiopis
Quirlblütiger Salbei,Salvia verticillata
Braunrote Schlauchpflanze,Sarracenia purpurea
Echtes Bohnenkraut,Satureja hortensis
Winter-Bohnenkraut,Satureja montana
Orientalische Mauerwespe,Sceliphron curvatum
Schöner Blaustern,Scilla amoena
Forbes-Schneestolz,Scilla forbesii
"Luzilien-Schneestolz, L.-Blaustern",Scilla luciliae
"Sardes-Blaustern, Lydischer Blaustern",Scilla sardensis
,Scilla siberica
Eichhörnchen,Sciurus vulgaris
Frühlings-Braunwurz,Scrophularia vernalis
Hohes Helmkraut,Scutellaria altissima
Spinnenassel,Scutigera coleoptrata
Spanische Fetthenne,Sedum hispanicum
,Sedum spurium
Sprossende Fransen-Hauswurz (Unterart),Sempervivum globiferum arenarium
