Taxon,nEintraege,nEintraege_neu,RelAnstieg
Cabomba caroliniana,5,,
Cacatua sulphurea,1,,
Cacoecimorpha pronubana,63,46,1.92
Cacyreus marshalli,2,,
Caenoscelis subdeplanata,4,,
Cairina moschata,917,283,0.87
Calceolaria integrifolia,2,,
Calendula officinalis,3673,1280,1.38
Calepina irregularis,87,45,1.85
Caligus lacustris,,,
Callinectes sapidus,2,,
Callipepla californica,2,,
Callistemon citrinus,7,,
Callistephus chinensis,244,111,1.79
Callithamnion tetragonum,16,,
Callonetta leucophrys,311,54,0.57
Callopistria maillardi,,,
Callosciurus erythraeus,,,
Callosciurus finlaysonii,,,
Callosobruchus chinensis,7,,
Callosobruchus maculatus,8,,
Calocedrus decurrens,13,,
Caloptilia azaleella,1,,
Calvatia tatrensis,,,
Calycanthus floridus,4,,
Calyptospadix cerulea,,,
Calystegia lucana,1,,
Calystegia pulchra,312,,
Calystegia silvatica,59,,
Camarosporidiella elongata,10,,
Camassia quamash,1,,
Cambarincola mesochoreus,,,
Camellia japonica,36,,
Cameraria ohridella,1173,598,1.38
Campanula medium,223,77,1.68
Campanula poscharskyana,454,238,1.66
Campanula rhomboidalis,30,,
Campsis radicans,32,,
Campylaea illyrica,1,,
Campylaea planospira,,,
Campylopus introflexus,637,104,1.35
Campylopus pyriformis,621,,
Canna indica,49,,
Cannabis sativa,626,129,1.42
Cannabis sativa sativa,106,,
Capartogramma crucicula,,,
Capra hircus,236,66,0.7
Capra ibex,78,30,1.15
Caprella mutica,8,,
Capreolus capreolus,,,
Capsicum annuum,54,,
Caragana arborescens,240,25,0.92
Carassius auratus,341,87,0.86
Carausius morosus,1,,
Carcinops pumilio,85,,
Cardamine corymbosa,7,,
Cardinalis cardinalis,3,,
Cardiophorus taylori,,,
Cardiospermum grandiflorum,,,
Carduelis carduelis,,,
Carduus nutans leiophyllus,8,,
Carex crawfordii,2,,
Carex morrowii,14,,
Carex vulpinoidea,32,,
Carlina acanthifolia,33,,
Carpelimus zealandicus,7,,
Carpobrotus chilensis,1,,
Carpobrotus edulis,5,,
Carpophilus dimidiatus,5,,
Carpophilus hemipterus,37,,
Carpophilus marginellus,15,,
Carpophilus quadrisignatus,,,
Carthamus tinctorius,616,434,1.82
Cartodere bifasciata,73,32,1.36
Cartodere grouvellei,,,
Cartodere nodifer,346,27,0.71
Cartodere satelles,,,
Cartodere subfasciata,,,
Carya cordiformis,4,,
Carya ovata,7,,
Caryedon serratus,,,
Caryoborus chiriquensis,,,
Caspiobdella fadejewi,44,,
Castor canadensis,12,,
Catalpa bignonioides,1534,973,1.6
Catalpa ovata,28,,
Catapodium rigidum,33,,
Catapodium rigidum rigidum,1,,
Catharanthus roseus,1,,
Catharosia pygmaea,2,,
Catreus wallichii,,,
Caulophilus latinosus,,,
Cedrus atlantica,217,72,0.99
Cedrus deodara,31,,
Celastrus orbiculatus,36,,
Celosia argentea,36,,
Celtis occidentalis,41,,
Cenchrus americanus,18,,
Cenchrus setaceus,10,,
Centaurea calcitrapa,27,,
Centaurea diffusa,94,,
Centaurea nigrescens,87,,
Centaurea nigrescens nigrescens,12,,
Centaurea nigrescens subsp. vochinensis (W.D.J.Koch) Nyman,,,
Centaurea nigrescens transalpina,,,
Centaurea scabiosa fritschii,1,,
Centaurea solstitialis,148,,
Centaurea solstitialis solstitialis,98,,
Centaurea stoebe subsp. australis (A.Kern.) Greuter,114,,
Centaurea trichocephala,,,
Centaurea varnensis,,,
Centranthus ruber,825,417,1.61
Centranthus ruber ruber,,,
Cephalaria gigantea,33,,
Cephalaria transylvanica,2,,
Cephalcia alashanica,14,,
Cephalotaxus fortunei,4,,
Ceramium cimbricum,21,,
Ceramium circinatum,,,
Cerastium arvense subsp. arvense x tomentosum,57,,
Cerastium tomentosum,4970,2774,1.79
Cerataphis lataniae,,,
Ceratina cucurbitina,124,,
Ceratitis capitata,27,,
Ceratocephala orthoceras,,,
Ceratodon purpureus,937,182,2
Ceratostigma plumbaginoides,126,98,1.94
Cercidiphyllum japonicum,42,,
Cercopagis pengoi,,,
Cercyon castaneipennis,28,,
Cercyon laminatus,126,,
Cereus pedunculatus,,,
Ceriagrion cerinorubellum,,,
Cerinomyces pallidus,,,
Cernuella cisalpina,7,,
Cernuella neglecta,46,,
Cervus nippon,61,,
Cestrum elegans,3,,
Chaenomeles japonica,2424,1651,1.66
Chaenomeles speciosa,88,43,1.25
Chaenostoma cordatum,13,,
Chaenotetrastichus semiflavus,,,
Chaetanaphothrips orchidii,,,
Chaetoceros lorenzianus,,,
Chaetoceros peruvianus,,,
Chaitophorus populifolii,,,
Chalcophaps indica,1,,
Chalinula loosanoffi,,,
Chamaecyparis lawsoniana,1023,745,1.8
Chamaecyparis pisifera,14,,
Chamaecytisus hirsutus,12,,
Chamaemelum nobile,72,48,1.73
Channa argus,,,
Chara connivens,3,,
Charpentieria itala,6,,
Chasmanthium latifolium,8,,
Chattonella marina,,,
Chattonella marina antiqua,,,
Chattonella sp.,,,
Cheiracanthium mildei,111,75,1.7
Chelicorophium curvispinum,158,,
Chelicorophium robustum,56,,
Chelicorophium sowinskyi,1,,
Chelone obliqua,3,,
