Taxon,Laengengrad,Breitengrad,Zeitpunkt,Aufenthaltsw,Datenbank,Jahr
Impatiens glandulifera,11.79167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.79167,48.225,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.875,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.95833,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.875,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.95833,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.04167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.125,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.04167,48.225,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.20833,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.29167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.20833,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.29167,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.375,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.45833,48.225,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.54167,48.275,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.625,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.54167,48.225,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.625,48.225,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.95833,48.225,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.125,48.275,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,13.20833,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.29167,48.275,1960 - 1987,1,sMon,1987
Impatiens glandulifera,13.20833,48.225,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.875,48.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.958333,48.125,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,10.20833,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.29167,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.20833,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.29167,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.70833,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,11.875,48.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,11.95833,48.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.29167,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.20833,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.29167,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.375,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.45833,48.175,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.375,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.45833,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.54167,48.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.625,48.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.54167,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.625,48.125,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.70833,48.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.79167,48.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.70833,48.125,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.95833,48.175,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.625,48.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.875,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.958333,48.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,10.125,48.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,10.20833,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.29167,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.20833,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.29167,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.375,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.45833,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.625,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.54167,48.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,10.70833,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.79167,48.075,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.20833,48.075,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.20833,48.025,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.375,48.075,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,12.45833,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.54167,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.625,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.54167,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.625,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.70833,48.075,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.79167,48.075,1960 - 1987,1,sMon,1987
