TaxonName,TaxonUsageID,MTB_Q,Longitude,Latitude,Timestep,Period,OP,OP_sd
Impatiens glandulifera,3063,22142,8.125,53.775,1,1960 - 1987,0.2063,0.0046
Impatiens glandulifera,3063,22143,8.041667,53.725,1,1960 - 1987,0.1347,0.0032
Impatiens glandulifera,3063,22144,8.125,53.725,1,1960 - 1987,0.1407,0.0033
Impatiens glandulifera,3063,22151,8.208333,53.775,1,1960 - 1987,0.1918,0.0043
Impatiens glandulifera,3063,22152,8.291667,53.775,1,1960 - 1987,0.1322,0.0031
Impatiens glandulifera,3063,22153,8.208333,53.725,1,1960 - 1987,0.1348,0.0032
Impatiens glandulifera,3063,22154,8.291667,53.725,1,1960 - 1987,0.2934,0.0062
Impatiens glandulifera,3063,22161,8.375,53.775,1,1960 - 1987,0.0806,0.002
Impatiens glandulifera,3063,22162,8.458333,53.775,1,1960 - 1987,0.0599,0.0015
Impatiens glandulifera,3063,22163,8.375,53.725,1,1960 - 1987,0.1495,0.0035
Impatiens glandulifera,3063,22164,8.458333,53.725,1,1960 - 1987,0.1077,0.0026
Impatiens glandulifera,3063,22171,8.541667,53.775,1,1960 - 1987,0.3869,0.0076
Impatiens glandulifera,3063,22172,8.625,53.775,1,1960 - 1987,0.3324,0.0068
Impatiens glandulifera,3063,22173,8.541667,53.725,1,1960 - 1987,0.4702,0.0085
Impatiens glandulifera,3063,22174,8.625,53.725,1,1960 - 1987,0.3246,0.0067
Impatiens glandulifera,3063,22181,8.708333,53.775,1,1960 - 1987,0.26,0.0056
Impatiens glandulifera,3063,22182,8.791667,53.775,1,1960 - 1987,0.4138,0.0079
Impatiens glandulifera,3063,22183,8.708333,53.725,1,1960 - 1987,0.3078,0.0064
Impatiens glandulifera,3063,22184,8.791667,53.725,1,1960 - 1987,0.2872,0.0061
Impatiens glandulifera,3063,22191,8.875,53.775,1,1960 - 1987,0.4836,0.0086
Impatiens glandulifera,3063,22192,8.958333,53.775,1,1960 - 1987,0.4521,0.0083
Impatiens glandulifera,3063,22193,8.875,53.725,1,1960 - 1987,0.394,0.0077
Impatiens glandulifera,3063,22194,8.958333,53.725,1,1960 - 1987,0.36,0.0072
Impatiens glandulifera,3063,22201,9.041667,53.775,1,1960 - 1987,0.3211,0.0066
Impatiens glandulifera,3063,22202,9.125,53.775,1,1960 - 1987,0.3025,0.0063
Impatiens glandulifera,3063,22203,9.041667,53.725,1,1960 - 1987,0.2138,0.0048
Impatiens glandulifera,3063,22204,9.125,53.725,1,1960 - 1987,0.307,0.0064
Impatiens glandulifera,3063,22211,9.208333,53.775,1,1960 - 1987,0.2864,0.0061
Impatiens glandulifera,3063,22212,9.291667,53.775,1,1960 - 1987,0.2691,0.0058
Impatiens glandulifera,3063,22213,9.208333,53.725,1,1960 - 1987,0.2947,0.0062
Impatiens glandulifera,3063,22214,9.291667,53.725,1,1960 - 1987,0.287,0.0061
Impatiens glandulifera,3063,22221,9.375,53.775,1,1960 - 1987,0.2743,0.0059
Impatiens glandulifera,3063,22222,9.458333,53.775,1,1960 - 1987,0.2458,0.0054
Impatiens glandulifera,3063,22223,9.375,53.725,1,1960 - 1987,0.2662,0.0057
Impatiens glandulifera,3063,22224,9.458333,53.725,1,1960 - 1987,0.2737,0.0059
Impatiens glandulifera,3063,22231,9.541667,53.775,1,1960 - 1987,0.2335,0.0052
Impatiens glandulifera,3063,22232,9.625,53.775,1,1960 - 1987,0.1828,0.0042
Impatiens glandulifera,3063,22233,9.541667,53.725,1,1960 - 1987,0.2824,0.006
Impatiens glandulifera,3063,22234,9.625,53.725,1,1960 - 1987,0.2574,0.0056
Impatiens glandulifera,3063,22241,9.708333,53.775,1,1960 - 1987,0.1475,0.0034
Impatiens glandulifera,3063,22242,9.791667,53.775,1,1960 - 1987,0.1424,0.0033
Impatiens glandulifera,3063,22243,9.708333,53.725,1,1960 - 1987,0.2163,0.0048
Impatiens glandulifera,3063,22244,9.791667,53.725,1,1960 - 1987,0.2231,0.005
Impatiens glandulifera,3063,22251,9.875,53.775,1,1960 - 1987,0.1517,0.0035
Impatiens glandulifera,3063,22252,9.958333,53.775,1,1960 - 1987,0.1368,0.0032
Impatiens glandulifera,3063,22253,9.875,53.725,1,1960 - 1987,0.1454,0.0034
Impatiens glandulifera,3063,22254,9.958333,53.725,1,1960 - 1987,0.162,0.0037
Impatiens glandulifera,3063,22261,10.04167,53.775,1,1960 - 1987,0.1342,0.0032
Impatiens glandulifera,3063,22262,10.125,53.775,1,1960 - 1987,0.1315,0.0031
Impatiens glandulifera,3063,22263,10.04167,53.725,1,1960 - 1987,0.1934,0.0044
Impatiens glandulifera,3063,22264,10.125,53.725,1,1960 - 1987,0.155,0.0036
Impatiens glandulifera,3063,22271,10.20833,53.775,1,1960 - 1987,0.1662,0.0038
Impatiens glandulifera,3063,22272,10.29167,53.775,1,1960 - 1987,0.0653,0.0016
Impatiens glandulifera,3063,22273,10.20833,53.725,1,1960 - 1987,0.1929,0.0044
Impatiens glandulifera,3063,22274,10.29167,53.725,1,1960 - 1987,0.0767,0.0019
Impatiens glandulifera,3063,22281,10.375,53.775,1,1960 - 1987,0.0509,0.0013
Impatiens glandulifera,3063,22282,10.45833,53.775,1,1960 - 1987,0.0552,0.0014
Impatiens glandulifera,3063,22283,10.375,53.725,1,1960 - 1987,0.0701,0.0017
Impatiens glandulifera,3063,22284,10.45833,53.725,1,1960 - 1987,0.0716,0.0017
Impatiens glandulifera,3063,22291,10.54167,53.775,1,1960 - 1987,0.0608,0.0015
Impatiens glandulifera,3063,22292,10.625,53.775,1,1960 - 1987,0.1478,0.0034
Impatiens glandulifera,3063,22293,10.54167,53.725,1,1960 - 1987,0.0702,0.0017
Impatiens glandulifera,3063,22294,10.625,53.725,1,1960 - 1987,0.0823,0.002
Impatiens glandulifera,3063,22301,10.70833,53.775,1,1960 - 1987,0.1515,0.0035
Impatiens glandulifera,3063,22302,10.79167,53.775,1,1960 - 1987,0.1319,0.0031
Impatiens glandulifera,3063,22303,10.70833,53.725,1,1960 - 1987,0.0927,0.0022
Impatiens glandulifera,3063,22304,10.79167,53.725,1,1960 - 1987,0.1597,0.0037
Impatiens glandulifera,3063,22311,10.875,53.775,1,1960 - 1987,0.1207,0.0029
Impatiens glandulifera,3063,22312,10.95833,53.775,1,1960 - 1987,0.1225,0.0029
Impatiens glandulifera,3063,22313,10.875,53.725,1,1960 - 1987,0.1143,0.0027
Impatiens glandulifera,3063,22314,10.95833,53.725,1,1960 - 1987,0.1183,0.0028
Impatiens glandulifera,3063,22321,11.04167,53.775,1,1960 - 1987,0.1267,0.003
Impatiens glandulifera,3063,22322,11.125,53.775,1,1960 - 1987,0.1381,0.0032
Impatiens glandulifera,3063,22323,11.04167,53.725,1,1960 - 1987,0.154,0.0036
Impatiens glandulifera,3063,22324,11.125,53.725,1,1960 - 1987,0.1535,0.0036
Impatiens glandulifera,3063,22331,11.20833,53.775,1,1960 - 1987,0.1394,0.0033
Impatiens glandulifera,3063,22332,11.29167,53.775,1,1960 - 1987,0.1258,0.003
Impatiens glandulifera,3063,22333,11.20833,53.725,1,1960 - 1987,0.1767,0.004
Impatiens glandulifera,3063,22334,11.29167,53.725,1,1960 - 1987,0.195,0.0044
Impatiens glandulifera,3063,22341,11.375,53.775,1,1960 - 1987,0.1811,0.0041
Impatiens glandulifera,3063,22342,11.45833,53.775,1,1960 - 1987,0.2112,0.0047
Impatiens glandulifera,3063,22343,11.375,53.725,1,1960 - 1987,0.2131,0.0048
Impatiens glandulifera,3063,22344,11.45833,53.725,1,1960 - 1987,0.2453,0.0054
Impatiens glandulifera,3063,22351,11.54167,53.775,1,1960 - 1987,0.2038,0.0046
Impatiens glandulifera,3063,22352,11.625,53.775,1,1960 - 1987,0.1747,0.004
Impatiens glandulifera,3063,22353,11.54167,53.725,1,1960 - 1987,0.1897,0.0043
Impatiens glandulifera,3063,22354,11.625,53.725,1,1960 - 1987,0.166,0.0038
Impatiens glandulifera,3063,22361,11.70833,53.775,1,1960 - 1987,0.1543,0.0036
Impatiens glandulifera,3063,22362,11.79167,53.775,1,1960 - 1987,0.1552,0.0036
Impatiens glandulifera,3063,22363,11.70833,53.725,1,1960 - 1987,0.1754,0.004
Impatiens glandulifera,3063,22364,11.79167,53.725,1,1960 - 1987,0.1436,0.0034
Impatiens glandulifera,3063,22371,11.875,53.775,1,1960 - 1987,0.1931,0.0044
Impatiens glandulifera,3063,22372,11.95833,53.775,1,1960 - 1987,0.1463,0.0034
Impatiens glandulifera,3063,22373,11.875,53.725,1,1960 - 1987,0.1378,0.0032
Impatiens glandulifera,3063,22374,11.95833,53.725,1,1960 - 1987,0.1015,0.0024
Impatiens glandulifera,3063,22381,12.04167,53.775,1,1960 - 1987,0.1676,0.0039
Impatiens glandulifera,3063,22382,12.125,53.775,1,1960 - 1987,0.1828,0.0042
Impatiens glandulifera,3063,22383,12.04167,53.725,1,1960 - 1987,0.0866,0.0021
Impatiens glandulifera,3063,22384,12.125,53.725,1,1960 - 1987,0.0802,0.0019
Impatiens glandulifera,3063,22391,12.20833,53.775,1,1960 - 1987,0.1215,0.0029
Impatiens glandulifera,3063,22392,12.29167,53.775,1,1960 - 1987,0.1104,0.0026
Impatiens glandulifera,3063,22393,12.20833,53.725,1,1960 - 1987,0.0958,0.0023
Impatiens glandulifera,3063,22394,12.29167,53.725,1,1960 - 1987,0.0924,0.0022
Impatiens glandulifera,3063,22401,12.375,53.775,1,1960 - 1987,0.1089,0.0026
Impatiens glandulifera,3063,22402,12.45833,53.775,1,1960 - 1987,0.1103,0.0026
Impatiens glandulifera,3063,22403,12.375,53.725,1,1960 - 1987,0.101,0.0024
Impatiens glandulifera,3063,22404,12.45833,53.725,1,1960 - 1987,0.0847,0.002
Impatiens glandulifera,3063,22411,12.54167,53.775,1,1960 - 1987,0.0913,0.0022
Impatiens glandulifera,3063,22412,12.625,53.775,1,1960 - 1987,0.0801,0.0019
Impatiens glandulifera,3063,22413,12.54167,53.725,1,1960 - 1987,0.0959,0.0023
Impatiens glandulifera,3063,22414,12.625,53.725,1,1960 - 1987,0.087,0.0021
Impatiens glandulifera,3063,22421,12.70833,53.775,1,1960 - 1987,0.0986,0.0024
Impatiens glandulifera,3063,22422,12.79167,53.775,1,1960 - 1987,0.0866,0.0021
Impatiens glandulifera,3063,22423,12.70833,53.725,1,1960 - 1987,0.0816,0.002
Impatiens glandulifera,3063,22424,12.79167,53.725,1,1960 - 1987,0.0769,0.0019
Impatiens glandulifera,3063,22431,12.875,53.775,1,1960 - 1987,0.0506,0.0012
