Taxon_deutsch,Taxon_wissensch
Borsten-Pippau,Crepis setosa
Gold-Krokus,Crocus flavus
Tommasini-Krokus,Crocus tommasinianus
,Crocus neapolitanus × tommasinianus
,Cruciata glabra
,Cryptophagus dentatus
,Cryptopleurum subtile
Graskarpfen,Ctenopharyngodon idella
Gronovius-Seide,Cuscuta gronovii
Chilenische Seide,Cuscuta suaveolens
Spitzkletten-Rispenkraut,Cyclachaena xanthiifolia
Schwarzmeer-Alpenveilchen,Cyclamen coum
"Efeublatt-Alpenveilchen, Herbst-A.",Cyclamen hederifolium
,Cyclamen africanum
,Cydalima perspectalis
Schwarzschwan,Cygnus atratus
Höckerschwan,Cygnus olor
Kleiner Gewächshaus-Tausendfüßer,Cylindroiulus britannicus
,Cylindroiulus truncorum
Mauer-Zimbelkraut,Cymbalaria muralis
Gewöhnliches Hundszahngras,Cynodon dactylon
Grannen-Kammgras,Cynosurus echinatus
Frischgrünes Zypergras,Cyperus eragrostis
Erdmandel,Cyperus esculentus
Damhirsch,Dama dama
Weißes Waldvögelein,Cephalanthera damasonium
Gewöhnliche Wunderblume,Mirabilis jalapa
Damaszener Schwarzkümmel,Nigella damascena
Herbst-Drehwurz,Spiranthes spiralis
Distelfalter,Vanessa cardui
,Dama
,Nymphalinae
Vauzeichen-Eckflügelspanner,Macaria wauaria
,Nymphalini
,Vanessa
Sommer-Drehwurz,Spiranthes aestivalis
,Cestrum nocturnum
,Cereus hexagonus
Königin der Nacht,Selenicereus grandiflorus
WeilRwedelhirsch,Odocoileus virginianus
,Mammillaria elongata
Stechapfel,Datura stramonium
Garten-Ackerrittersporn,Delphinium ajacis
Spanischer Ackerrittersporn,Delphinium hispanicum
,Delta unguiculatum
Bart-Nelke,Dianthus barbatus
,Dianthus chinensis × barbatus
Riesen-Nelke,Dianthus giganteus
Riesen-Nelke,Dianthus giganteus giganteus
Feder-Nelke,Dianthus plumarius
,Dianthus plumarius plumarius
,Dianthus plumarius lumnitzeri
Nelke,Dianthus plumarius praecox
Pazifische Herzblume,Dicentra formosa
Streckfuß,Dicranopalpus ramosus
Großer Höckerflohkrebs,Dikerogammarus villosus
Mauer-Doppelsame,Diplotaxis muralis
Schmalblättriger Doppelsame,Diplotaxis tenuifolia
Ruten-Doppelsame,Diplotaxis viminea
Schlanke Karde,Dipsacus strigosus
Klebriger Alant,Dittrichia graveolens
Kaukasus-Gämswurz,Doronicum orientale
Gemswurz,Doronicum caucasicum
Dreikantmuschel,Dreissena polymorpha
,Dreissena rostriformis
Quagga-Dreikantmuschel,Dreissena bugensis
,Drosophila suzukii
,Duponchelia fovealis
Duft-Drüsengänsefuß,Dysphania ambrosioides
Klebriger Drüsengänsefuß,Dysphania botrys
Australischer Drüsengänsefuß,Dysphania pumilio
Schrader-Drüsengänsefuß,Dysphania schraderiana
Borstige Hühnerhirse,Echinochloa muricata
,Echinochloa muricata microstachya
Stachelgurke,Echinocystis lobata
,Echinogammarus berilloni
Banater Kugeldistel,Echinops bannaticus
Hohe Kugeldistel,Echinops exaltatus
Blaue Kugeldistel,Echinops ritro
Drüsenblättrige Kugeldistel,Echinops sphaerocephalus
,Echinops sphaerocephalus sphaerocephalus
Bernstein-Waldschabe,Ectobius vittiventris
Schmalblättrige Ölweide,Elaeagnus angustifolia
Silber-Ölweide,Elaeagnus commutata
Wilder Korakan,Eleusine indica
,Elodea canadensis
,Elodea densa
Dichte Wasserpest,Egeria densa
Schmalblättrige Wasserpest,Elodea nuttallii
Europäische Sumpfschildkröte,Emys orbicularis
,Emys orbicularis orbicularis
Kakaomotte,Ephestia elutella
Kurzfrüchtiges Weidenröschen,Epilobium brachycarpum
Drüsiges Weidenröschen,Epilobium ciliatum
Alpen-Sockenblume,Epimedium alpinum
,Epimedium pubigerum
Großähriges Liebesgras,Eragrostis cilianensis
Gebogenblättriges Liebesgras,Eragrostis curvula
Kleines Liebesgras,Eragrostis minor
Japanisches Liebesgras,Eragrostis multicaulis
Behaartes Liebesgras,Eragrostis pilosa
Winterling,Eranthis hyemalis
Amerikanisches Scheingreiskraut,Erechtites hieraciifolius
einjähriger Feinstrahl,Erigeron annuus
Argentinisches Berufkraut,Erigeron bonariensis
Sumatra-Berufkraut,Erigeron sumatrensis
Kanadisches Berufkraut,Erigeron canadensis
Striegelhaariges Berufkraut,Erigeron strigosus
,Erigeron strigosus septentrionalis
Braunbrustigel,Erinaceus europaeus
,Erinaceus europaeus europaeus
Chinesische Wollhandkrabbe,Eriocheir sinensis
Riesen-Mannstreu,Eryngium giganteum
Ruten-Schöterich,Erysimum hieraciifolium
,Erysimum hieraciifolium durum
Steifer Schöterich,Erysimum virgatum
Gelbe Gauklerblume,Erythranthe guttata
Moschus-Gauklerblume,Erythranthe moschata
Südliche Grille,Eumodicogryllus bordigalensis
kletternder Spindelstrauch,Euonymus fortunei
,Euonymus fortunei fortunei
niederliegende Wolfsmilch,Euphorbia humifusa
Kreuzbblättrige Wolfsmilch,Euphorbia lathyris
gefleckte Wolfsmilch,Euphorbia maculata
Walzen-Wolfsmilch,Euphorbia myrsinites
hingestreckte Wolfsmilch,Euphorbia prostrata
Weidenblättrige Wolfsmilch,Euphorbia salicifolia
schlängelnde Wolfsmilch,Euphorbia serpens
Gras-Schildwanze,Eurygaster maura
Grasblättriger Goldschirm,Euthamia graminifolia
Echter Buchweizen,Fagopyrum esculentum
Silberregen,Fallopia baldschuanica
Kamberkrebs,Faxonius limosus
Feigenbaum,Ficus carica
Fenchel,Foeniculum vulgare
,Foeniculum vulgare azoricum
Echter Fenchel,Foeniculum vulgare vulgare
Hybrid-Forsythie,Forsythia intermedia
Hybrid-Forsythie,Forsythia × intermedia
"Goldflieder, Forsythie",Forsythia suspensa
Ananas-Erdbeere,Fragaria ananassa
Ananas-Erdbeere,Fragaria × ananassa
Blumen-Esche,Fraxinus ornus
Pennsylvanische Esche,Fraxinus pennsylvanica
Arizona-Esche,Fraxinus velutina
Gewöhnliche Schachblume,Fritillaria meleagris
Ranken-Erdrauch,Fumaria capreolata
Mauer-Erdrauch,Fumaria muralis
Prärie-Kokardenblume,Gaillardia aristata
Elwes-Schneeglöckchen,Galanthus elwesii
,Galanthus elwesii monostictus
Arznei-Geißraute,Galega officinalis
Kleinblütiges Knopfkraut,Galinsoga parviflora
Behaartes Franzosenkraut,Galinsoga quadriradiata
Anis-Labkraut,Galium verrucosum
Wirtgens Labkraut,Galium verum wirtgenii
Bankivahuhn,Gallus gallus
Tiere,Gallus
,Gallus gallus domesticus
Flussflohkrebs,Gammarus roeselii
Harziger Lackporling,Ganoderma resinaceum
,Geopora sumneriana
Endress-Storchschnabel,Geranium endressii
Felsen-Storchschnabel,Geranium macrorrhizum
Knotiger Storchschnabel,Geranium nodosum
Purpur-Storchschnabel,Geranium purpureum
Pyrenäen-Storchschnabel,Geranium pyrenaicum
Gefleckter Strudelwurm,Girardia tigrina
Amerikanische Gleditschia,Gleditsia triacanthos
,Gleditsia triacanthos inermis
Vierfleckiger Kiefernglanzkäfer,Glischrochilus quadripunctatus
,Glischrochilus quadrisignatus
Gestreifter Schwaden,Glyceria striata
,Gnatocerus cornutus
Flieder-Blatttütenfalter,Gracillaria syringella
Rhododendronzikade,Graphocephala fennahi
