Taxon_orig,Taxon
Gentiana lutea,Gentiana lutea
Gentiana pannonica,Gentiana pannonica
Gentiana punctata,Gentiana punctata
Crocus vernus,Crocus vernus
Cannabis sativa,Cannabis sativa
Centaurea nigra,Centaurea nigra
Conyza albida,Erigeron sumatrensis
Lemna minuta,Lemna minuta
Solanum villosum,Solanum villosum
Tanacetum partheniifolium,Tanacetum partheniifolium
Xanthium saccharatum,Xanthium orientale
Geranium lucidum,Geranium lucidum
Geranium phaeum,Geranium phaeum
Geranium pratense,Geranium pratense
Geranium pyrenaicum,Geranium pyrenaicum
Geranium rotundifolium,Geranium rotundifolium
Geum montanum,Geum montanum
Achillea millefolium agg.,Achillea millefolium
Glaucium flavum,Glaucium flavum
Salix repens agg.,Salix repens
Xanthium strumarium agg.,Xanthium strumarium
Carex buekii,Carex buekii
Helianthus tuberosus,Helianthus tuberosus
Helleborus foetidus,Helleborus foetidus
Helleborus niger,Helleborus niger
Helleborus viridis,Helleborus viridis
Heracleum mantegazzianum,Heracleum mantegazzianum
Herniaria hirsuta,Herniaria hirsuta
Hesperis matronalis,Hesperis matronalis
Allium carinatum,Allium carinatum
Hippophae rhamnoides,Hippophae rhamnoides
Hirschfeldia incana,Hirschfeldia incana
Hordeum jubatum,Hordeum jubatum
Hymenolobus procumbens,Hornungia procumbens
Hypericum humifusum,Hypericum humifusum
Bromus catharticus,Bromus catharticus
Hyssopus officinalis,Hyssopus officinalis
Iberis amara,Iberis amara
Impatiens glandulifera,Impatiens glandulifera
Impatiens parviflora,Impatiens parviflora
Allium paradoxum,Allium paradoxum
Inula helenium,Inula helenium
Iris germanica agg.,Iris germanica
Iris sibirica,Iris sibirica
Isatis tinctoria agg.,Isatis tinctoria
Allium schoenoprasum,Allium schoenoprasum
Iva xanthiifolia,Iva xanthiifolia
Juglans regia,Juglans regia
Allium ursinum,Allium ursinum
Laburnum anagyroides,Laburnum anagyroides
Lactuca tatarica,Lactuca tatarica
Lactuca virosa,Lactuca virosa
Symphyotrichum lanceolatum,Symphyotrichum lanceolatum
Symphyotrichum parviflorum,Symphyotrichum parviflorum
Alnus incana,Alnus incana
Symphytum asperum,Symphytum asperum
Larix decidua,Larix decidua
Laser trilobum,Laser trilobum
